date,raw_merchant,clean_merchant,category,amount,expected_range,anomaly_score,severity,explanation
2023-04-01,  PENNEYS PRIMARK CORK   ,PENNEYS PRIMARK CORK,Shopping,788.57,€10.00 - €280.82,1.0,High,Amount €788.57 is 10.9x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2023-12-31,Nandos DUNDALK,NANDOS DUNDALK,Dining & Takeaway,446.34,€3.80 - €95.17,0.9958,High,Amount €446.34 is 16.5x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2024-07-01,PENNEYS PRIMARK BRAY,PENNEYS PRIMARK BRAY,Shopping,938.71,€10.00 - €280.82,0.9882,High,Amount €938.71 is 13.0x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2023-05-15,APPLE STORE RETAIL,APPLE STORE RETAIL,Shopping,862.93,€10.00 - €280.82,0.9774,High,Amount €862.93 is 12.0x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2023-03-21,Nandos DUNDALK,NANDOS DUNDALK,Dining & Takeaway,479.32,€3.80 - €95.17,0.9757,High,Amount €479.32 is 17.7x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2023-09-05,Boojum Burrito KILKENNY,BOOJUM BURRITO KILKENNY,Dining & Takeaway,456.74,€3.80 - €95.17,0.9716,High,Amount €456.74 is 16.9x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2025-03-23,TK MAXX KILKENNY,TK MAXX KILKENNY,Shopping,589.77,€10.00 - €280.82,0.9558,High,Amount €589.77 is 8.2x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2023-10-09,BOOKING.COM HOTEL,BOOKING COM HOTEL,Travel,1342.05,€43.63 - €570.85,0.9501,High,Amount €1342.05 is 7.8x typical Travel median (€171.42). Exceeds typical ceiling of €570.85.
2024-08-21,TK MAXX BRAY,TK MAXX BRAY,Shopping,643.01,€10.00 - €280.82,0.9493,High,Amount €643.01 is 8.9x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2023-12-14,McDonalds SWORDS,MCDONALDS SWORDS,Dining & Takeaway,313.59,€3.80 - €95.17,0.9419,High,Amount €313.59 is 11.6x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
